id|title|description|c1_text|c1_consequence|c1_gold|c1_food|c1_morale|c2_text|c2_consequence|c2_gold|c2_food|c2_morale
e12|成员生病|一名伍员突染风寒，高烧不退，急需药物治疗，否则恐会恶化。|寻医问药|你们寻访医者，花费金帛购买药物，队员病情好转，士气提升。|-80|0|10|听天由命|伍员只能硬扛，病情不见好转，战团士气因此低落。|0|0|-10
e13|口粮失窃|清点辎重时发现少量口粮不翼而飞，怀疑有伍员私自盗窃。|彻查此事|你下令彻查，找出窃贼并严惩，但过程耗费精力，略有损失。|-10|-5|5|不予追究|为避免内讧，你选择不追究，但士气受到负面影响。|0|-10|-8
e14|行商吆喝|你们在路上遇到一名行脚商人，他推销着各种稀奇古怪的货物，价格不菲。|仔细挑选|你们花费金帛购买了一些有用的物资，补充了战备。|-100|10|5|讨价还价|你试图压价，商人不悦，最终只买到少量便宜货。|-30|5|0
e15|走私暗号|夜晚，你们在荒野中发现一处隐秘的营地，似乎是走私者的据点，有暗号传来。|前往交易|你们与走私者秘密交易，以较低价格购得稀缺物资。|-150|20|5|敬而远之|担心惹上麻烦，你们选择避开，保持低调，未作停留。|0|0|0
e16|战场遗迹|你们途经一片古战场遗址，遍地狼藉，枯骨森森，空气中弥漫着肃杀之气。|搜寻有用物|你们在战场上搜寻，找到了一些残破的兵器和少量遗物。|80|0|-2|祭奠亡魂|战团默哀片刻，祭奠逝者，士气略有提升，但并无所得。|-5|0|5
e17|废弃营地|在密林深处，你们发现一处被匆忙废弃的营地，帐篷倾倒，锅灶尚温。|仔细探查|你们在营地中找到了少量遗留的补给品，并无危险。|0|15|3|小心避让|担心有诈，你们小心翼翼地绕开营地，未作停留。|0|0|0
e18|突发洪灾|你们途经河流时，上游突降暴雨引发洪水，河水暴涨，冲毁了桥梁。|冒险渡河|你们冒险淌水渡河，损失了一些物资，但节省了时间。|-50|-10|-5|绕道而行|战团被迫绕远路，消耗了更多时间与口粮，但避免了危险。|0|-20|0
e19|瘟疫蔓延|途经某村落，发现村中瘟疫肆虐，死尸遍地，生者惶恐不安，空气中弥漫着病气。|迅速撤离|你们立即撤离此地，避免了感染风险，但士气受影响。|0|0|-5|协助清理|你们协助处理死者，消耗了物资，但积攒了善缘，士气提升。|-30|-5|8
e20|神秘老人|你们在山间小径遇到一位白发苍苍的老者，他面容祥和，似在等待着什么。|恭敬请教|老者指点迷津，言语玄妙，虽无实物，却令人豁然开朗，士气提升。|0|0|10|匆匆赶路|你们未加理会，老者只是微笑不语，继续前行，未有得失。|0|0|0
e21|宝藏传闻|在酒肆中，你们无意间听到关于某处深山藏有宝藏的传闻，引人遐思。|探寻宝藏|你们决定前往探寻，花费一番周折，可能有所斩获。|-20|-10|10|不予理会|认为传闻不可信，你们继续按原计划行进，未受影响。|0|0|0
e22|林中异香|密林深处飘来一阵奇异的香气，令人精神振奋，却又有些不安。|循香探寻|你们循着香气而去，发现一株稀有的草药，得以补充。|0|15|5|警惕避开|担心有毒或有陷阱，你们选择避开异香来源，保持谨慎。|0|0|0
e23|山洞壁画|你们在山崖发现一处隐秘山洞，洞壁刻满古老壁画，似藏玄机。|深入探究|你们深入山洞，发现了一些古代工具，但耗费了时间。|70|-5|5|敬畏不入|认为不宜打扰古迹，你们未入洞，径直离开，未有得失。|0|0|0
e24|士气低落|连日行军且粮草短缺，伍员们士气低落，抱怨声四起。|鼓舞士气|你发表慷慨陈词，并许诺战利，士气暂时提振，但有所消耗。|-20|-5|15|无视抱怨|你对抱怨置若罔闻，士气进一步下降，可能引发骚乱。|0|-10|-15
